"","occurrenceId","verbatimScientificName_.GRA.","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species_.GBIF.","canonicalName","authorship","usageKey","acceptedUsageKey"
"4032",NA,"Eurolophosaurus amathites","Eurolophosaurus amathites (Rodrigues, 1984)",2460123,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Tropiduridae","Eurolophosaurus","Eurolophosaurus amathites","Eurolophosaurus amathites","(Rodrigues, 1984) ",2460123,2460123
"4033",NA,"Eurolophosaurus divaricatus","Eurolophosaurus divaricatus (Rodrigues, 1986)",2460155,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Tropiduridae","Eurolophosaurus","Eurolophosaurus divaricatus","Eurolophosaurus divaricatus","(Rodrigues, 1986) ",2460155,2460155
"4034",NA,"Eurolophosaurus nanuzae","Eurolophosaurus nanuzae (Rodrigues, 1981)",2460090,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Tropiduridae","Eurolophosaurus","Eurolophosaurus nanuzae","Eurolophosaurus nanuzae","(Rodrigues, 1981) ",2460090,2460090
"4035",NA,"Eurydactylodes agricolae","Eurydactylodes agricolae Henkel & Böhme, 2001",2446345,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Diplodactylidae","Eurydactylodes","Eurydactylodes agricolae","Eurydactylodes agricolae","Henkel & Böhme, 2001",2446345,2446345
"4036",NA,"Eurydactylodes occidentalis","Eurydactylodes occidentalis Bauer, Jackman, Sadlier & Whitaker, 2009",5843322,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Diplodactylidae","Eurydactylodes","Eurydactylodes occidentalis","Eurydactylodes occidentalis","Bauer, Jackman, Sadlier & Whitaker, 2009",5843322,5843322
"4037",NA,"Eurydactylodes symmetricus","Eurydactylodes symmetricus (Andersson, 1908)",2446350,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Diplodactylidae","Eurydactylodes","Eurydactylodes symmetricus","Eurydactylodes symmetricus","(Andersson, 1908) ",2446350,2446350
"4038",NA,"Eurydactylodes vieillardi","Eurydactylodes vieillardi (Bavay, 1869)",2446346,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Diplodactylidae","Eurydactylodes","Eurydactylodes vieillardi","Eurydactylodes vieillardi","(Bavay, 1869) ",2446346,2446346
"4039",NA,"Eurylepis poonaensis","Eurylepis poonaensis (Sharma, 1970)",5225518,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eurylepis","Eurylepis poonaensis","Eurylepis poonaensis","(Sharma, 1970) ",5225518,5225518
"4040",NA,"Eurylepis taeniolatus","Eurylepis taeniolata Blyth, 1854",5225513,"FUZZY",98,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eurylepis","Eurylepis taeniolata","Eurylepis taeniolata","Blyth, 1854",5225513,5225513
"4041",NA,"Euspondylus acutirostris","Euspondylus acutirostris (Peters, 1863)",2450856,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus acutirostris","Euspondylus acutirostris","(Peters, 1863) ",2450856,2450856
"4042",NA,"Euspondylus auyanensis","Euspondylus auyanensis Myers, Rivas & Jadin, 2009",7592445,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus auyanensis","Euspondylus auyanensis","Myers, Rivas & Jadin, 2009",7592445,7592445
"4043",NA,"Euspondylus caideni","Euspondylus caideni Köhler, 2003",2450844,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus caideni","Euspondylus caideni","Köhler, 2003",2450844,2450844
"4044",NA,"Euspondylus guentheri","Euspondylus guentheri (O'Shaughnessy, 1881)",2450854,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus guentheri","Euspondylus guentheri","(O'Shaughnessy, 1881) ",2450854,2450854
"4045",NA,"Euspondylus josyi","Euspondylus josyi Köhler, 2003",2450858,"EXACT",100,"SYNONYM","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Wilsonosaura","Wilsonosaura josyi","Euspondylus josyi","Köhler, 2003",2450858,11134458
"4046",NA,"Euspondylus maculatus","Euspondylus maculatus Tschudi, 1845",2450845,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus maculatus","Euspondylus maculatus","Tschudi, 1845",2450845,2450845
"4047",NA,"Euspondylus monsfumus","Euspondylus monsfumus Mijares-Urrutia, Señaris & Arends, 2001",2450849,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus monsfumus","Euspondylus monsfumus","Mijares-Urrutia, Señaris & Arends, 2001",2450849,2450849
"4048",NA,"Euspondylus nellycarrillae","Euspondylus nellycarrillae Köhler & Lehr, 2004",2450848,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus nellycarrillae","Euspondylus nellycarrillae","Köhler & Lehr, 2004",2450848,2450848
"4049",NA,"Euspondylus oreades","Euspondylus oreades Chávez, Siu-Ting, Duran & Venegas, 2011",8229239,"EXACT",100,"SYNONYM","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Proctoporus","Proctoporus oreades","Euspondylus oreades","Chávez, Siu-Ting, Duran & Venegas, 2011",8229239,11204624
"4050",NA,"Euspondylus simonsii","Euspondylus simonsii Boulenger, 1901",2450413,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Euspondylus","Euspondylus simonsii","Euspondylus simonsii","Boulenger, 1901",2450413,2450413
"4051",NA,"Euspondylus spinalis","Euspondylus spinalis (Boulenger, 1911)",2450850,"EXACT",100,"SYNONYM","SPECIES","Animalia","Chordata","Squamata",NA,"Gymnophthalmidae","Proctoporus","Proctoporus spinalis","Euspondylus spinalis","(Boulenger, 1911) ",2450850,11134512
"4052",NA,"Eutrachelophis steinbachi","Eutrachelophis steinbachi (Boulenger, 1905)",9498151,"EXACT",100,"SYNONYM","SPECIES","Animalia","Chordata","Squamata",NA,"Colubridae","Baliodryas","Baliodryas steinbachi","Eutrachelophis steinbachi","(Boulenger, 1905) ",9498151,11170434
"4053",NA,"Eutropis allapallensis","Eutropis allapallensis (Schmidt, 1926)",7496347,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis allapallensis","Eutropis allapallensis","(Schmidt, 1926) ",7496347,7496347
"4054",NA,"Eutropis andamanensis","Eutropis andamanensis (Smith, 1935)",2460849,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis andamanensis","Eutropis andamanensis","(Smith, 1935) ",2460849,2460849
"4055",NA,"Eutropis ashwamedhi","Eutropis ashwamedhi (Sharma, 1969)",8580261,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis ashwamedhi","Eutropis ashwamedhi","(Sharma, 1969) ",8580261,8580261
"4056",NA,"Eutropis austini","Eutropis austini Batuwita, 2016",11124627,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis austini","Eutropis austini","Batuwita, 2016",11124627,11124627
"4057",NA,"Eutropis beddomei","Eutropis beddomei (Jerdon, 1870)",2460907,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis beddomei","Eutropis beddomei","(Jerdon, 1870) ",2460907,2460907
"4058",NA,"Eutropis bibronii","Eutropis bibronii (Gray, 1839)",2460934,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Eutropis","Eutropis bibronii","Eutropis bibronii","(Gray, 1839) ",2460934,2460934
