"","occurrenceId","verbatimScientificName_.GRA.","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species_.GBIF.","canonicalName","authorship","usageKey","acceptedUsageKey"
"1",NA,"Ablepharus bivittatus","Ablepharus bivittatus (Menetries, 1832)",2461305,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus bivittatus","Ablepharus bivittatus","(Menetries, 1832) ",2461305,2461305
"2",NA,"Ablepharus budaki","Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996",8011236,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus budaki","Ablepharus budaki","Göcmen, Kumlutas & Tosunoglu, 1996",8011236,8011236
"3",NA,"Ablepharus chernovi","Ablepharus chernovi Darevsky, 1953",2461286,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus chernovi","Ablepharus chernovi","Darevsky, 1953",2461286,2461286
"4",NA,"Ablepharus darvazi","Ablepharus darvazi Eremchenko & Panfilov, 1990",2461285,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus darvazi","Ablepharus darvazi","Eremchenko & Panfilov, 1990",2461285,2461285
"5",NA,"Ablepharus deserti","Ablepharus deserti Strauch, 1868",2461274,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus deserti","Ablepharus deserti","Strauch, 1868",2461274,2461274
"6",NA,"Ablepharus grayanus","Ablepharus grayanus (Stoliczka, 1872)",2461272,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus grayanus","Ablepharus grayanus","(Stoliczka, 1872) ",2461272,2461272
"7",NA,"Ablepharus kitaibelii","Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833",8120403,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus kitaibelii","Ablepharus kitaibelii","Bibron & Bory St-Vincent, 1833",8120403,8120403
"8",NA,"Ablepharus lindbergi","Ablepharus lindbergi Wettstein, 1960",9611899,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus lindbergi","Ablepharus lindbergi","Wettstein, 1960",9611899,9611899
"9",NA,"Ablepharus pannonicus","Ablepharus pannonicus (Lichtenstein, 1823)",9623013,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus pannonicus","Ablepharus pannonicus","(Lichtenstein, 1823) ",9623013,9623013
"10",NA,"Ablepharus rueppellii","Ablepharus rueppellii (Gray, 1839)",2461304,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus rueppellii","Ablepharus rueppellii","(Gray, 1839) ",2461304,2461304
"11",NA,"Abronia anzuetoi","Abronia anzuetoi Campbell & Frost, 1993",5226612,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia anzuetoi","Abronia anzuetoi","Campbell & Frost, 1993",5226612,5226612
"12",NA,"Abronia aurita","Abronia aurita (Cope, 1869)",2468141,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia aurita","Abronia aurita","(Cope, 1869) ",2468141,2468141
"13",NA,"Abronia bogerti","Abronia bogerti Tihen, 1954",5226602,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia bogerti","Abronia bogerti","Tihen, 1954",5226602,5226602
"14",NA,"Abronia campbelli","Abronia campbelli Brodie & Savage, 1993",5226596,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia campbelli","Abronia campbelli","Brodie & Savage, 1993",5226596,5226596
"15",NA,"Abronia chiszari","Abronia chiszari Smith & Smith, 1981",5226594,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia chiszari","Abronia chiszari","Smith & Smith, 1981",5226594,5226594
"16",NA,"Abronia deppii","Abronia deppii (Wiegmann, 1828)",5226613,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia deppii","Abronia deppii","(Wiegmann, 1828) ",5226613,5226613
"17",NA,"Abronia fimbriata","Abronia fimbriata (Cope, 1885)",5226592,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia fimbriata","Abronia fimbriata","(Cope, 1885) ",5226592,5226592
"18",NA,"Abronia frosti","Abronia frosti Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia frosti","Abronia frosti","Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,5226615
"19",NA,"Abronia fuscolabialis","Abronia fuscolabialis (Tihen, 1944)",5226616,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia fuscolabialis","Abronia fuscolabialis","(Tihen, 1944) ",5226616,5226616
"20",NA,"Abronia gaiophantasma","Abronia gaiophantasma Campbell & Frost, 1993",5226610,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia gaiophantasma","Abronia gaiophantasma","Campbell & Frost, 1993",5226610,5226610
"21",NA,"Abronia graminea","Abronia graminea (Cope, 1864)",5226604,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia graminea","Abronia graminea","(Cope, 1864) ",5226604,5226604
"22",NA,"Abronia leurolepis","Abronia leurolepis Campbell & Frost, 1993",5226598,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia leurolepis","Abronia leurolepis","Campbell & Frost, 1993",5226598,5226598
"23",NA,"Abronia lythrochila","Abronia lythrochila Smith & Alvarez Del Toro, 1963",5226588,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia lythrochila","Abronia lythrochila","Smith & Alvarez Del Toro, 1963",5226588,5226588
"24",NA,"Abronia martindelcampoi","Abronia martindelcampoi Flores-Villela & Sánchez-H., 2003",5226618,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia martindelcampoi","Abronia martindelcampoi","Flores-Villela & Sánchez-H., 2003",5226618,5226618
"25",NA,"Abronia matudai","Abronia matudai (Hartweg & Tihen, 1946)",5226607,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia matudai","Abronia matudai","(Hartweg & Tihen, 1946) ",5226607,5226607
"26",NA,"Abronia meledona","Abronia meledona Campbell & Brodie, 1999",5226600,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia meledona","Abronia meledona","Campbell & Brodie, 1999",5226600,5226600
"27",NA,"Abronia mitchelli","Abronia mitchelli Campbell, 1982",5226590,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia mitchelli","Abronia mitchelli","Campbell, 1982",5226590,5226590
"28",NA,"Abronia mixteca","Abronia mixteca Bogert & Porter, 1967",5226611,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia mixteca","Abronia mixteca","Bogert & Porter, 1967",5226611,5226611
"29",NA,"Abronia montecristoi","Abronia montecristoi Hidalgo, 1983",5226601,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia montecristoi","Abronia montecristoi","Hidalgo, 1983",5226601,5226601
"30",NA,"Abronia oaxacae","Abronia oaxacae (Günther, 1885)",5226593,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia oaxacae","Abronia oaxacae","(Günther, 1885) ",5226593,5226593
"31",NA,"Abronia ochoterenai","Abronia ochoterenai (Martin Del Campo, 1939)",8409229,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia ochoterenai","Abronia ochoterenai","(Martin Del Campo, 1939) ",8409229,8409229
"32",NA,"Abronia ornelasi","Abronia ornelasi Campbell, 1984",5226595,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia ornelasi","Abronia ornelasi","Campbell, 1984",5226595,5226595
"33",NA,"Abronia ramirezi","Abronia ramirezi Campbell, 1994",5226597,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia ramirezi","Abronia ramirezi","Campbell, 1994",5226597,5226597
"34",NA,"Abronia reidi","Abronia reidi Werler & Shannon, 1961",5226606,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia reidi","Abronia reidi","Werler & Shannon, 1961",5226606,5226606
"35",NA,"Abronia salvadorensis","Abronia salvadorensis Hidalgo, 1983",5226599,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia salvadorensis","Abronia salvadorensis","Hidalgo, 1983",5226599,5226599
"36",NA,"Abronia smithi","Abronia smithi Campbell & Frost, 1993",5226589,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia smithi","Abronia smithi","Campbell & Frost, 1993",5226589,5226589
"37",NA,"Abronia taeniata","Abronia taeniata (Wiegmann, 1828)",9120742,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia taeniata","Abronia taeniata","(Wiegmann, 1828) ",9120742,9120742
"38",NA,"Abronia vasconcelosii","Abronia vasconcelosii (Bocourt, 1872)",5226591,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia vasconcelosii","Abronia vasconcelosii","(Bocourt, 1872) ",5226591,5226591
"39",NA,"Acanthocercus adramitanus","Acanthocercus adramitanus (Anderson, 1896)",5225986,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus adramitanus","Acanthocercus adramitanus","(Anderson, 1896) ",5225986,5225986
"40",NA,"Acanthocercus annectens","Acanthocercus annectens (Blanford, 1870)",5225990,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus annectens","Acanthocercus annectens","(Blanford, 1870) ",5225990,5225990
"41",NA,"Acanthocercus atricollis","Acanthocercus atricollis (Smith, 1849)",5225997,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus atricollis","Acanthocercus atricollis","(Smith, 1849) ",5225997,5225997
"42",NA,"Acanthocercus branchi","Acanthocercus branchi Wagner, Greenbaum & Bauer, 2012",7898920,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus branchi","Acanthocercus branchi","Wagner, Greenbaum & Bauer, 2012",7898920,7898920
"43",NA,"Acanthocercus cyanocephalus","Acanthocercus cyanocephalus (Falk, 1925)",11067001,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus cyanocephalus","Acanthocercus cyanocephalus","(Falk, 1925) ",11067001,11067001
"44",NA,"Acanthocercus cyanogaster","Acanthocercus cyanogaster (Rüppell, 1835)",5225983,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus cyanogaster","Acanthocercus cyanogaster","(Rüppell, 1835) ",5225983,5225983
"45",NA,"Acanthocercus gregorii","Acanthocercus gregorii (Günther, 1894)",10965082,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus gregorii","Acanthocercus gregorii","(Günther, 1894) ",10965082,10965082
"46",NA,"Acanthocercus guentherpetersi","Acanthocercus guentherpetersi Largen & Spawls, 2006",8111127,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus guentherpetersi","Acanthocercus guentherpetersi","Largen & Spawls, 2006",8111127,8111127
"47",NA,"Acanthocercus kiwuensis","Acanthocercus kiwuensis (Klausewitz, 1957)",11197716,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus kiwuensis","Acanthocercus kiwuensis","(Klausewitz, 1957) ",11197716,11197716
"48",NA,"Acanthocercus minutus","Acanthocercus minutus (Klausewitz, 1957)",11084985,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus minutus","Acanthocercus minutus","(Klausewitz, 1957) ",11084985,11084985
"49",NA,"Acanthocercus phillipsii","Acanthocercus phillipsii (Boulenger, 1895)",5225994,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus phillipsii","Acanthocercus phillipsii","(Boulenger, 1895) ",5225994,5225994
"50",NA,"Acanthocercus ugandaensis","Acanthocercus ugandaensis (Klausewitz, 1957)",10980922,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus ugandaensis","Acanthocercus ugandaensis","(Klausewitz, 1957) ",10980922,10980922
"51",NA,"Acanthocercus yemensis","Acanthocercus yemensis (Klausewitz, 1954)",5225981,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Agamidae","Acanthocercus","Acanthocercus yemensis","Acanthocercus yemensis","(Klausewitz, 1954) ",5225981,5225981
"52",NA,"Acanthochelys macrocephala","Acanthochelys macrocephala (Rhodin, Mittermeier & Mcmorris, 1984)",2441991,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Testudines",NA,"Chelidae","Acanthochelys","Acanthochelys macrocephala","Acanthochelys macrocephala","(Rhodin, Mittermeier & Mcmorris, 1984) ",2441991,2441991
"53",NA,"Acanthochelys pallidipectoris","Acanthochelys pallidipectoris (Freiberg, 1945)",2441980,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Testudines",NA,"Chelidae","Acanthochelys","Acanthochelys pallidipectoris","Acanthochelys pallidipectoris","(Freiberg, 1945) ",2441980,2441980
"54",NA,"Acanthochelys radiolata","Acanthochelys radiolata (Mikan, 1820)",2441986,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Testudines",NA,"Chelidae","Acanthochelys","Acanthochelys radiolata","Acanthochelys radiolata","(Mikan, 1820) ",2441986,2441986
"55",NA,"Acanthochelys spixii","Acanthochelys spixii (Duméril & Bibron, 1835)",9752971,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Testudines",NA,"Chelidae","Acanthochelys","Acanthochelys spixii","Acanthochelys spixii","(Duméril & Bibron, 1835) ",9752971,9752971
"56",NA,"Acanthodactylus ahmaddisii","Acanthodactylus ahmaddisii Werner, 2004",5226725,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus ahmaddisii","Acanthodactylus ahmaddisii","Werner, 2004",5226725,5226725
"57",NA,"Acanthodactylus arabicus","Acanthodactylus arabicus Boulenger, 1918",5226740,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus arabicus","Acanthodactylus arabicus","Boulenger, 1918",5226740,5226740
"58",NA,"Acanthodactylus aureus","Acanthodactylus aureus Günther, 1903",5226715,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus aureus","Acanthodactylus aureus","Günther, 1903",5226715,5226715
"59",NA,"Acanthodactylus bedriagai","Acanthodactylus bedriagai Lataste, 1881",5226698,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus bedriagai","Acanthodactylus bedriagai","Lataste, 1881",5226698,5226698
"60",NA,"Acanthodactylus beershebensis","Acanthodactylus beershebensis Moravec, El Din, Seligmann, Sivan & Werner, 1999",5226708,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus beershebensis","Acanthodactylus beershebensis","Moravec, El Din, Seligmann, Sivan & Werner, 1999",5226708,5226708
"61",NA,"Acanthodactylus blanci","Acanthodactylus blanci Doumergue, 1901",5226710,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus blanci","Acanthodactylus blanci","Doumergue, 1901",5226710,5226710
"62",NA,"Acanthodactylus blanfordii","Acanthodactylus blanfordii Boulenger, 1918",5226745,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus blanfordii","Acanthodactylus blanfordii","Boulenger, 1918",5226745,5226745
"63",NA,"Acanthodactylus boskianus","Acanthodactylus boskianus (Daudin, 1802)",5226727,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus boskianus","Acanthodactylus boskianus","(Daudin, 1802) ",5226727,5226727
"64",NA,"Acanthodactylus boueti","Acanthodactylus boueti Chabanaud, 1917",5226714,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus boueti","Acanthodactylus boueti","Chabanaud, 1917",5226714,5226714
"65",NA,"Acanthodactylus busacki","Acanthodactylus busacki Salvador, 1982",5226697,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus busacki","Acanthodactylus busacki","Salvador, 1982",5226697,5226697
"66",NA,"Acanthodactylus cantoris","Acanthodactylus cantoris Günther, 1864",5226726,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus cantoris","Acanthodactylus cantoris","Günther, 1864",5226726,5226726
"67",NA,"Acanthodactylus dumerilii","Acanthodactylus dumerilii (Milne-Edwards, 1829)",5226752,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus dumerilii","Acanthodactylus dumerilii","(Milne-Edwards, 1829) ",5226752,5226752
"68",NA,"Acanthodactylus erythrurus","Acanthodactylus erythrurus (Schinz, 1833)",5226733,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus erythrurus","Acanthodactylus erythrurus","(Schinz, 1833) ",5226733,5226733
"69",NA,"Acanthodactylus felicis","Acanthodactylus felicis Arnold, 1980",5226702,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus felicis","Acanthodactylus felicis","Arnold, 1980",5226702,5226702
"70",NA,"Acanthodactylus gongrorhynchatus","Acanthodactylus gongrorhynchatus Leviton & Anderson, 1967",5226719,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus gongrorhynchatus","Acanthodactylus gongrorhynchatus","Leviton & Anderson, 1967",5226719,5226719
"71",NA,"Acanthodactylus grandis","Acanthodactylus grandis Boulenger, 1909",5226764,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus grandis","Acanthodactylus grandis","Boulenger, 1909",5226764,5226764
"72",NA,"Acanthodactylus guineensis","Acanthodactylus guineensis (Boulenger, 1887)",5226744,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus guineensis","Acanthodactylus guineensis","(Boulenger, 1887) ",5226744,5226744
"73",NA,"Acanthodactylus haasi","Acanthodactylus haasi Leviton & Anderson, 1967",5226712,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus haasi","Acanthodactylus haasi","Leviton & Anderson, 1967",5226712,5226712
"74",NA,"Acanthodactylus harranensis","Acanthodactylus harranensis Baran, Kumlutas, Lanza, Sindaco, Avci & Crucitti, 2005",5226705,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus harranensis","Acanthodactylus harranensis","Baran, Kumlutas, Lanza, Sindaco, Avci & Crucitti, 2005",5226705,5226705
"75",NA,"Acanthodactylus longipes","Acanthodactylus longipes Boulenger, 1918",5226717,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus longipes","Acanthodactylus longipes","Boulenger, 1918",5226717,5226717
"76",NA,"Acanthodactylus maculatus","Acanthodactylus maculatus (Gray, 1838)",5226771,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus maculatus","Acanthodactylus maculatus","(Gray, 1838) ",5226771,5226771
"77",NA,"Acanthodactylus masirae","Acanthodactylus masirae Arnold, 1980",5226775,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus masirae","Acanthodactylus masirae","Arnold, 1980",5226775,5226775
"78",NA,"Acanthodactylus mechriguensis","Acanthodactylus mechriguensis Nouira & Blanc, 1999",5789525,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus mechriguensis","Acanthodactylus mechriguensis","Nouira & Blanc, 1999",5789525,5789525
"79",NA,"Acanthodactylus micropholis","Acanthodactylus micropholis Blanford, 1874",5226760,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus micropholis","Acanthodactylus micropholis","Blanford, 1874",5226760,5226760
"80",NA,"Acanthodactylus nilsoni","Acanthodactylus nilsoni Rastegar-Pouyani, 1998",5226761,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus nilsoni","Acanthodactylus nilsoni","Rastegar-Pouyani, 1998",5226761,5226761
"81",NA,"Acanthodactylus opheodurus","Acanthodactylus opheodurus Arnold, 1980",5226742,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus opheodurus","Acanthodactylus opheodurus","Arnold, 1980",5226742,5226742
"82",NA,"Acanthodactylus orientalis","Acanthodactylus orientalis Angel, 1936",5226703,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus orientalis","Acanthodactylus orientalis","Angel, 1936",5226703,5226703
"83",NA,"Acanthodactylus pardalis","Acanthodactylus pardalis (Lichtenstein, 1823)",5226709,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus pardalis","Acanthodactylus pardalis","(Lichtenstein, 1823) ",5226709,5226709
"84",NA,"Acanthodactylus robustus","Acanthodactylus robustus Werner, 1929",5226774,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus robustus","Acanthodactylus robustus","Werner, 1929",5226774,5226774
"85",NA,"Acanthodactylus savignyi","Acanthodactylus savignyi (Audouin, 1827)",5226765,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus savignyi","Acanthodactylus savignyi","(Audouin, 1827) ",5226765,5226765
"86",NA,"Acanthodactylus schmidti","Acanthodactylus schmidti Haas, 1957",5226756,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus schmidti","Acanthodactylus schmidti","Haas, 1957",5226756,5226756
"87",NA,"Acanthodactylus schreiberi","Acanthodactylus schreiberi Boulenger, 1878",5226767,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus schreiberi","Acanthodactylus schreiberi","Boulenger, 1878",5226767,5226767
"88",NA,"Acanthodactylus scutellatus","Acanthodactylus scutellatus (Audouin, 1827)",9034555,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus scutellatus","Acanthodactylus scutellatus","(Audouin, 1827) ",9034555,9034555
"89",NA,"Acanthodactylus senegalensis","Acanthodactylus senegalensis Chabanaud, 1918",5226750,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus senegalensis","Acanthodactylus senegalensis","Chabanaud, 1918",5226750,5226750
"90",NA,"Acanthodactylus spinicauda","Acanthodactylus spinicauda Doumergue, 1901",5226758,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus spinicauda","Acanthodactylus spinicauda","Doumergue, 1901",5226758,5226758
"91",NA,"Acanthodactylus taghitensis","Acanthodactylus taghitensis Geniez & Foucart, 1995",5226732,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus taghitensis","Acanthodactylus taghitensis","Geniez & Foucart, 1995",5226732,5226732
"92",NA,"Acanthodactylus tilburyi","Acanthodactylus tilburyi Arnold, 1986",5226701,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus tilburyi","Acanthodactylus tilburyi","Arnold, 1986",5226701,5226701
"93",NA,"Acanthodactylus tristrami","Acanthodactylus tristrami (Günther, 1864)",5226762,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus tristrami","Acanthodactylus tristrami","(Günther, 1864) ",5226762,5226762
"94",NA,"Acanthodactylus yemenicus","Acanthodactylus yemenicus Salvador, 1982",5226743,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Lacertidae","Acanthodactylus","Acanthodactylus yemenicus","Acanthodactylus yemenicus","Salvador, 1982",5226743,5226743
