occurrenceId,verbatimScientificName_(GRA),scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species_(GBIF),canonicalName,authorship,usageKey,acceptedUsageKey
,Ablepharus bivittatus,"Ablepharus bivittatus (Menetries, 1832)",2461305,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus bivittatus,Ablepharus bivittatus,"(Menetries, 1832) ",2461305,
,Ablepharus budaki,"Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996",8011236,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus budaki,Ablepharus budaki,"Göcmen, Kumlutas & Tosunoglu, 1996",8011236,
,Ablepharus chernovi,"Ablepharus chernovi Darevsky, 1953",2461286,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus chernovi,Ablepharus chernovi,"Darevsky, 1953",2461286,
,Ablepharus darvazi,"Ablepharus darvazi Eremchenko & Panfilov, 1990",2461285,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus darvazi,Ablepharus darvazi,"Eremchenko & Panfilov, 1990",2461285,
,Ablepharus deserti,"Ablepharus deserti Strauch, 1868",2461274,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus deserti,Ablepharus deserti,"Strauch, 1868",2461274,
,Ablepharus grayanus,"Ablepharus grayanus (Stoliczka, 1872)",2461272,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus grayanus,Ablepharus grayanus,"(Stoliczka, 1872) ",2461272,
,Ablepharus kitaibelii,"Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833",8120403,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus kitaibelii,Ablepharus kitaibelii,"Bibron & Bory St-Vincent, 1833",8120403,
,Ablepharus lindbergi,"Ablepharus lindbergi Wettstein, 1960",9611899,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus lindbergi,Ablepharus lindbergi,"Wettstein, 1960",9611899,
,Ablepharus pannonicus,"Ablepharus pannonicus (Lichtenstein, 1823)",9623013,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus pannonicus,Ablepharus pannonicus,"(Lichtenstein, 1823) ",9623013,
,Ablepharus rueppellii,"Ablepharus rueppellii (Gray, 1839)",2461304,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus rueppellii,Ablepharus rueppellii,"(Gray, 1839) ",2461304,
,Abronia anzuetoi,"Abronia anzuetoi Campbell & Frost, 1993",5226612,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia anzuetoi,Abronia anzuetoi,"Campbell & Frost, 1993",5226612,
,Abronia aurita,"Abronia aurita (Cope, 1869)",2468141,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia aurita,Abronia aurita,"(Cope, 1869) ",2468141,
,Abronia bogerti,"Abronia bogerti Tihen, 1954",5226602,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia bogerti,Abronia bogerti,"Tihen, 1954",5226602,
,Abronia campbelli,"Abronia campbelli Brodie & Savage, 1993",5226596,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia campbelli,Abronia campbelli,"Brodie & Savage, 1993",5226596,
,Abronia chiszari,"Abronia chiszari Smith & Smith, 1981",5226594,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia chiszari,Abronia chiszari,"Smith & Smith, 1981",5226594,
,Abronia deppii,"Abronia deppii (Wiegmann, 1828)",5226613,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia deppii,Abronia deppii,"(Wiegmann, 1828) ",5226613,
,Abronia fimbriata,"Abronia fimbriata (Cope, 1885)",5226592,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia fimbriata,Abronia fimbriata,"(Cope, 1885) ",5226592,
,Abronia frosti,"Abronia frosti Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia frosti,Abronia frosti,"Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,
,Abronia fuscolabialis,"Abronia fuscolabialis (Tihen, 1944)",5226616,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia fuscolabialis,Abronia fuscolabialis,"(Tihen, 1944) ",5226616,
,Abronia gaiophantasma,"Abronia gaiophantasma Campbell & Frost, 1993",5226610,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia gaiophantasma,Abronia gaiophantasma,"Campbell & Frost, 1993",5226610,
,Abronia graminea,"Abronia graminea (Cope, 1864)",5226604,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,Abronia graminea,"(Cope, 1864) ",5226604,
,Abronia leurolepis,"Abronia leurolepis Campbell & Frost, 1993",5226598,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia leurolepis,Abronia leurolepis,"Campbell & Frost, 1993",5226598,
,Abronia lythrochila,"Abronia lythrochila Smith & Alvarez Del Toro, 1963",5226588,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia lythrochila,Abronia lythrochila,"Smith & Alvarez Del Toro, 1963",5226588,
,Abronia martindelcampoi,"Abronia martindelcampoi Flores-Villela & Sánchez-H., 2003",5226618,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia martindelcampoi,Abronia martindelcampoi,"Flores-Villela & Sánchez-H., 2003",5226618,
,Abronia matudai,"Abronia matudai (Hartweg & Tihen, 1946)",5226607,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia matudai,Abronia matudai,"(Hartweg & Tihen, 1946) ",5226607,
,Abronia meledona,"Abronia meledona Campbell & Brodie, 1999",5226600,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia meledona,Abronia meledona,"Campbell & Brodie, 1999",5226600,
,Abronia mitchelli,"Abronia mitchelli Campbell, 1982",5226590,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia mitchelli,Abronia mitchelli,"Campbell, 1982",5226590,
,Abronia mixteca,"Abronia mixteca Bogert & Porter, 1967",5226611,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia mixteca,Abronia mixteca,"Bogert & Porter, 1967",5226611,
,Abronia montecristoi,"Abronia montecristoi Hidalgo, 1983",5226601,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia montecristoi,Abronia montecristoi,"Hidalgo, 1983",5226601,
,Abronia oaxacae,"Abronia oaxacae (Günther, 1885)",5226593,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia oaxacae,Abronia oaxacae,"(Günther, 1885) ",5226593,
,Abronia ochoterenai,"Abronia ochoterenai (Martin Del Campo, 1939)",8409229,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ochoterenai,Abronia ochoterenai,"(Martin Del Campo, 1939) ",8409229,
,Abronia ornelasi,"Abronia ornelasi Campbell, 1984",5226595,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ornelasi,Abronia ornelasi,"Campbell, 1984",5226595,
,Abronia ramirezi,"Abronia ramirezi Campbell, 1994",5226597,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ramirezi,Abronia ramirezi,"Campbell, 1994",5226597,
,Abronia reidi,"Abronia reidi Werler & Shannon, 1961",5226606,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia reidi,Abronia reidi,"Werler & Shannon, 1961",5226606,
,Abronia salvadorensis,"Abronia salvadorensis Hidalgo, 1983",5226599,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia salvadorensis,Abronia salvadorensis,"Hidalgo, 1983",5226599,
,Abronia smithi,"Abronia smithi Campbell & Frost, 1993",5226589,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia smithi,Abronia smithi,"Campbell & Frost, 1993",5226589,
,Abronia taeniata,"Abronia taeniata (Wiegmann, 1828)",9120742,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia taeniata,Abronia taeniata,"(Wiegmann, 1828) ",9120742,
,Abronia vasconcelosii,"Abronia vasconcelosii (Bocourt, 1872)",5226591,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia vasconcelosii,Abronia vasconcelosii,"(Bocourt, 1872) ",5226591,
,Acanthocercus adramitanus,"Acanthocercus adramitanus (Anderson, 1896)",5225986,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus adramitanus,Acanthocercus adramitanus,"(Anderson, 1896) ",5225986,
,Acanthocercus annectens,"Acanthocercus annectens (Blanford, 1870)",5225990,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus annectens,Acanthocercus annectens,"(Blanford, 1870) ",5225990,
,Acanthocercus atricollis,"Acanthocercus atricollis (Smith, 1849)",5225997,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus atricollis,Acanthocercus atricollis,"(Smith, 1849) ",5225997,
,Acanthocercus branchi,"Acanthocercus branchi Wagner, Greenbaum & Bauer, 2012",7898920,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus branchi,Acanthocercus branchi,"Wagner, Greenbaum & Bauer, 2012",7898920,
,Acanthocercus cyanocephalus,"Acanthocercus cyanocephalus (Falk, 1925)",11067001,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus cyanocephalus,Acanthocercus cyanocephalus,"(Falk, 1925) ",11067001,
,Acanthocercus cyanogaster,"Acanthocercus cyanogaster (Rüppell, 1835)",5225983,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus cyanogaster,Acanthocercus cyanogaster,"(Rüppell, 1835) ",5225983,
,Acanthocercus gregorii,"Acanthocercus gregorii (Günther, 1894)",10965082,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus gregorii,Acanthocercus gregorii,"(Günther, 1894) ",10965082,
,Acanthocercus guentherpetersi,"Acanthocercus guentherpetersi Largen & Spawls, 2006",8111127,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus guentherpetersi,Acanthocercus guentherpetersi,"Largen & Spawls, 2006",8111127,
,Acanthocercus kiwuensis,"Acanthocercus kiwuensis (Klausewitz, 1957)",11197716,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus kiwuensis,Acanthocercus kiwuensis,"(Klausewitz, 1957) ",11197716,
,Acanthocercus minutus,"Acanthocercus minutus (Klausewitz, 1957)",11084985,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus minutus,Acanthocercus minutus,"(Klausewitz, 1957) ",11084985,
,Acanthocercus phillipsii,"Acanthocercus phillipsii (Boulenger, 1895)",5225994,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus phillipsii,Acanthocercus phillipsii,"(Boulenger, 1895) ",5225994,
,Acanthocercus ugandaensis,"Acanthocercus ugandaensis (Klausewitz, 1957)",10980922,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus ugandaensis,Acanthocercus ugandaensis,"(Klausewitz, 1957) ",10980922,
,Acanthocercus yemensis,"Acanthocercus yemensis (Klausewitz, 1954)",5225981,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthocercus,Acanthocercus yemensis,Acanthocercus yemensis,"(Klausewitz, 1954) ",5225981,
,Acanthochelys macrocephala,"Acanthochelys macrocephala (Rhodin, Mittermeier & Mcmorris, 1984)",2441991,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Chelidae,Acanthochelys,Acanthochelys macrocephala,Acanthochelys macrocephala,"(Rhodin, Mittermeier & Mcmorris, 1984) ",2441991,
,Acanthochelys pallidipectoris,"Acanthochelys pallidipectoris (Freiberg, 1945)",2441980,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Chelidae,Acanthochelys,Acanthochelys pallidipectoris,Acanthochelys pallidipectoris,"(Freiberg, 1945) ",2441980,
,Acanthochelys radiolata,"Acanthochelys radiolata (Mikan, 1820)",2441986,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Chelidae,Acanthochelys,Acanthochelys radiolata,Acanthochelys radiolata,"(Mikan, 1820) ",2441986,
,Acanthochelys spixii,"Acanthochelys spixii (Duméril & Bibron, 1835)",9752971,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Chelidae,Acanthochelys,Acanthochelys spixii,Acanthochelys spixii,"(Duméril & Bibron, 1835) ",9752971,
,Acanthodactylus ahmaddisii,"Acanthodactylus ahmaddisii Werner, 2004",5226725,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus ahmaddisii,Acanthodactylus ahmaddisii,"Werner, 2004",5226725,
,Acanthodactylus arabicus,"Acanthodactylus arabicus Boulenger, 1918",5226740,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus arabicus,Acanthodactylus arabicus,"Boulenger, 1918",5226740,
,Acanthodactylus aureus,"Acanthodactylus aureus Günther, 1903",5226715,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus aureus,Acanthodactylus aureus,"Günther, 1903",5226715,
,Acanthodactylus bedriagai,"Acanthodactylus bedriagai Lataste, 1881",5226698,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus bedriagai,Acanthodactylus bedriagai,"Lataste, 1881",5226698,
,Acanthodactylus beershebensis,"Acanthodactylus beershebensis Moravec, El Din, Seligmann, Sivan & Werner, 1999",5226708,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus beershebensis,Acanthodactylus beershebensis,"Moravec, El Din, Seligmann, Sivan & Werner, 1999",5226708,
,Acanthodactylus blanci,"Acanthodactylus blanci Doumergue, 1901",5226710,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus blanci,Acanthodactylus blanci,"Doumergue, 1901",5226710,
,Acanthodactylus blanfordii,"Acanthodactylus blanfordii Boulenger, 1918",5226745,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus blanfordii,Acanthodactylus blanfordii,"Boulenger, 1918",5226745,
,Acanthodactylus boskianus,"Acanthodactylus boskianus (Daudin, 1802)",5226727,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus boskianus,Acanthodactylus boskianus,"(Daudin, 1802) ",5226727,
,Acanthodactylus boueti,"Acanthodactylus boueti Chabanaud, 1917",5226714,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus boueti,Acanthodactylus boueti,"Chabanaud, 1917",5226714,
,Acanthodactylus busacki,"Acanthodactylus busacki Salvador, 1982",5226697,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus busacki,Acanthodactylus busacki,"Salvador, 1982",5226697,
,Acanthodactylus cantoris,"Acanthodactylus cantoris Günther, 1864",5226726,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus cantoris,Acanthodactylus cantoris,"Günther, 1864",5226726,
,Acanthodactylus dumerilii,"Acanthodactylus dumerilii (Milne-Edwards, 1829)",5226752,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus dumerilii,Acanthodactylus dumerilii,"(Milne-Edwards, 1829) ",5226752,
,Acanthodactylus erythrurus,"Acanthodactylus erythrurus (Schinz, 1833)",5226733,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus erythrurus,Acanthodactylus erythrurus,"(Schinz, 1833) ",5226733,
,Acanthodactylus felicis,"Acanthodactylus felicis Arnold, 1980",5226702,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus felicis,Acanthodactylus felicis,"Arnold, 1980",5226702,
,Acanthodactylus gongrorhynchatus,"Acanthodactylus gongrorhynchatus Leviton & Anderson, 1967",5226719,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus gongrorhynchatus,Acanthodactylus gongrorhynchatus,"Leviton & Anderson, 1967",5226719,
,Acanthodactylus grandis,"Acanthodactylus grandis Boulenger, 1909",5226764,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus grandis,Acanthodactylus grandis,"Boulenger, 1909",5226764,
,Acanthodactylus guineensis,"Acanthodactylus guineensis (Boulenger, 1887)",5226744,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus guineensis,Acanthodactylus guineensis,"(Boulenger, 1887) ",5226744,
,Acanthodactylus haasi,"Acanthodactylus haasi Leviton & Anderson, 1967",5226712,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus haasi,Acanthodactylus haasi,"Leviton & Anderson, 1967",5226712,
,Acanthodactylus harranensis,"Acanthodactylus harranensis Baran, Kumlutas, Lanza, Sindaco, Avci & Crucitti, 2005",5226705,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus harranensis,Acanthodactylus harranensis,"Baran, Kumlutas, Lanza, Sindaco, Avci & Crucitti, 2005",5226705,
,Acanthodactylus longipes,"Acanthodactylus longipes Boulenger, 1918",5226717,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus longipes,Acanthodactylus longipes,"Boulenger, 1918",5226717,
,Acanthodactylus maculatus,"Acanthodactylus maculatus (Gray, 1838)",5226771,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus maculatus,Acanthodactylus maculatus,"(Gray, 1838) ",5226771,
,Acanthodactylus masirae,"Acanthodactylus masirae Arnold, 1980",5226775,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus masirae,Acanthodactylus masirae,"Arnold, 1980",5226775,
,Acanthodactylus mechriguensis,"Acanthodactylus mechriguensis Nouira & Blanc, 1999",5789525,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus mechriguensis,Acanthodactylus mechriguensis,"Nouira & Blanc, 1999",5789525,
,Acanthodactylus micropholis,"Acanthodactylus micropholis Blanford, 1874",5226760,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus micropholis,Acanthodactylus micropholis,"Blanford, 1874",5226760,
,Acanthodactylus nilsoni,"Acanthodactylus nilsoni Rastegar-Pouyani, 1998",5226761,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus nilsoni,Acanthodactylus nilsoni,"Rastegar-Pouyani, 1998",5226761,
,Acanthodactylus opheodurus,"Acanthodactylus opheodurus Arnold, 1980",5226742,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus opheodurus,Acanthodactylus opheodurus,"Arnold, 1980",5226742,
,Acanthodactylus orientalis,"Acanthodactylus orientalis Angel, 1936",5226703,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus orientalis,Acanthodactylus orientalis,"Angel, 1936",5226703,
,Acanthodactylus pardalis,"Acanthodactylus pardalis (Lichtenstein, 1823)",5226709,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus pardalis,Acanthodactylus pardalis,"(Lichtenstein, 1823) ",5226709,
,Acanthodactylus robustus,"Acanthodactylus robustus Werner, 1929",5226774,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus robustus,Acanthodactylus robustus,"Werner, 1929",5226774,
,Acanthodactylus savignyi,"Acanthodactylus savignyi (Audouin, 1827)",5226765,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus savignyi,Acanthodactylus savignyi,"(Audouin, 1827) ",5226765,
,Acanthodactylus schmidti,"Acanthodactylus schmidti Haas, 1957",5226756,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus schmidti,Acanthodactylus schmidti,"Haas, 1957",5226756,
,Acanthodactylus schreiberi,"Acanthodactylus schreiberi Boulenger, 1878",5226767,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus schreiberi,Acanthodactylus schreiberi,"Boulenger, 1878",5226767,
,Acanthodactylus scutellatus,"Acanthodactylus scutellatus (Audouin, 1827)",9034555,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus scutellatus,Acanthodactylus scutellatus,"(Audouin, 1827) ",9034555,
,Acanthodactylus senegalensis,"Acanthodactylus senegalensis Chabanaud, 1918",5226750,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus senegalensis,Acanthodactylus senegalensis,"Chabanaud, 1918",5226750,
,Acanthodactylus spinicauda,"Acanthodactylus spinicauda Doumergue, 1901",5226758,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus spinicauda,Acanthodactylus spinicauda,"Doumergue, 1901",5226758,
,Acanthodactylus taghitensis,"Acanthodactylus taghitensis Geniez & Foucart, 1995",5226732,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus taghitensis,Acanthodactylus taghitensis,"Geniez & Foucart, 1995",5226732,
,Acanthodactylus tilburyi,"Acanthodactylus tilburyi Arnold, 1986",5226701,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus tilburyi,Acanthodactylus tilburyi,"Arnold, 1986",5226701,
,Acanthodactylus tristrami,"Acanthodactylus tristrami (Günther, 1864)",5226762,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus tristrami,Acanthodactylus tristrami,"(Günther, 1864) ",5226762,
,Acanthodactylus yemenicus,"Acanthodactylus yemenicus Salvador, 1982",5226743,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus yemenicus,Acanthodactylus yemenicus,"Salvador, 1982",5226743,
,Acanthophis antarcticus,"Acanthophis antarcticus (Shaw, 1802)",2449648,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis antarcticus,Acanthophis antarcticus,"(Shaw, 1802) ",2449648,
,Acanthophis cryptamydros,"Acanthophis cryptamydros Maddock, Ellis, Doughty, Smith & Wüster, 2015",8641441,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis cryptamydros,Acanthophis cryptamydros,"Maddock, Ellis, Doughty, Smith & Wüster, 2015",8641441,
,Acanthophis hawkei,"Acanthophis hawkei Wells & Wellington, 1985",2449635,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis hawkei,Acanthophis hawkei,"Wells & Wellington, 1985",2449635,
,Acanthophis laevis,"Acanthophis laevis Macleay, 1877",2449625,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis laevis,Acanthophis laevis,"Macleay, 1877",2449625,
,Acanthophis praelongus,"Acanthophis praelongus Ramsay, 1877",2449629,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis praelongus,Acanthophis praelongus,"Ramsay, 1877",2449629,
,Acanthophis pyrrhus,"Acanthophis pyrrhus Boulenger, 1898",2449630,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis pyrrhus,Acanthophis pyrrhus,"Boulenger, 1898",2449630,
,Acanthophis rugosus,"Acanthophis rugosus Loveridge, 1948",2449643,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis rugosus,Acanthophis rugosus,"Loveridge, 1948",2449643,
,Acanthophis wellsi,"Acanthophis wellsi Hoser, 1998",2449638,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Elapidae,Acanthophis,Acanthophis wellsi,Acanthophis wellsi,"Hoser, 1998",2449638,
,Acanthosaura armata,"Acanthosaura armata (Gray, 1827)",9079185,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Agamidae,Acanthosaura,Acanthosaura armata,Acanthosaura armata,"(Gray, 1827) ",9079185,
