occurrenceId,verbatimScientificName_(GRA),scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species_(GBIF),canonicalName,authorship,usageKey,acceptedUsageKey
,Trimorphodon lyrophanes,"Trimorphodon lyrophanes (Cope, 1860)",8237449,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Trimorphodon,Trimorphodon lyrophanes,Trimorphodon lyrophanes,"(Cope, 1860) ",8237449,
,Trimorphodon quadruplex,"Trimorphodon quadruplex Smith, 1941",2455934,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Trimorphodon,Trimorphodon quadruplex,Trimorphodon quadruplex,"Smith, 1941",2455934,
,Trimorphodon tau,"Trimorphodon tau Cope, 1870",2455917,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Trimorphodon,Trimorphodon tau,Trimorphodon tau,"Cope, 1870",2455917,
,Trimorphodon vilkinsonii,"Trimorphodon vilkinsonii Cope, 1886",2455927,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Trimorphodon,Trimorphodon vilkinsonii,Trimorphodon vilkinsonii,"Cope, 1886",2455927,
,Trioceros affinis,"Trioceros affinis (Rüppel, 1845)",8037521,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros affinis,Trioceros affinis,"(Rüppel, 1845) ",8037521,
,Trioceros balebicornutus,"Trioceros balebicornutus (Tilbury, 1998)",8084413,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros balebicornutus,Trioceros balebicornutus,"(Tilbury, 1998) ",8084413,
,Trioceros bitaeniatus,"Trioceros bitaeniatus (Fischer, 1884)",7993630,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros bitaeniatus,Trioceros bitaeniatus,"(Fischer, 1884) ",7993630,
,Trioceros camerunensis,"Trioceros camerunensis (Müller, 1909)",7841299,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros camerunensis,Trioceros camerunensis,"(Müller, 1909) ",7841299,
,Trioceros chapini,"Trioceros chapini (De Witte, 1964)",7721731,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros chapini,Trioceros chapini,"(De Witte, 1964) ",7721731,
,Trioceros conirostratus,"Trioceros conirostratus (Tilbury, 1998)",7379711,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros conirostratus,Trioceros conirostratus,"(Tilbury, 1998) ",7379711,
,Trioceros cristatus,"Trioceros cristatus (Stutchbury, 1837)",8284585,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros cristatus,Trioceros cristatus,"(Stutchbury, 1837) ",8284585,
,Trioceros deremensis,"Trioceros deremensis (Matschie, 1892)",7826456,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros deremensis,Trioceros deremensis,"(Matschie, 1892) ",7826456,
,Trioceros ellioti,"Trioceros ellioti (Günther, 1895)",8046982,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros ellioti,Trioceros ellioti,"(Günther, 1895) ",8046982,
,Trioceros feae,"Trioceros feae (Boulenger, 1906)",7620710,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros feae,Trioceros feae,"(Boulenger, 1906) ",7620710,
,Trioceros fuelleborni,"Trioceros fuelleborni (Tornier, 1900)",8394610,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros fuelleborni,Trioceros fuelleborni,"(Tornier, 1900) ",8394610,
,Trioceros goetzei,"Trioceros goetzei (Tornier, 1899)",7676424,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros goetzei,Trioceros goetzei,"(Tornier, 1899) ",7676424,
,Trioceros hanangensis,"Trioceros hanangensis Krause & Böhme, 2010",8199290,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros hanangensis,Trioceros hanangensis,"Krause & Böhme, 2010",8199290,
,Trioceros harennae,"Trioceros harennae (Largen, 1995)",8178523,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros harennae,Trioceros harennae,"(Largen, 1995) ",8178523,
,Trioceros hoehnelii,"Trioceros hoehnelii (Steindachner, 1891)",7582319,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros hoehnelii,Trioceros hoehnelii,"(Steindachner, 1891) ",7582319,
,Trioceros incornutus,"Trioceros incornutus (Loveridge, 1932)",7603667,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros incornutus,Trioceros incornutus,"(Loveridge, 1932) ",7603667,
,Trioceros ituriensis,"Trioceros ituriensis Schmidt, 1919",7991026,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros ituriensis,Trioceros ituriensis,"Schmidt, 1919",7991026,
,Trioceros jacksonii,"Trioceros jacksonii (Boulenger, 1896)",8371864,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros jacksonii,Trioceros jacksonii,"(Boulenger, 1896) ",8371864,
,Trioceros johnstoni,"Trioceros johnstoni (Boulenger, 1901)",8029174,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros johnstoni,Trioceros johnstoni,"(Boulenger, 1901) ",8029174,
,Trioceros kinangopensis,"Trioceros kinangopensis Stipala, Lutzmann, Malonza, Wilkinson, Godley, Nyamache & Evans, 2012",7468382,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros kinangopensis,Trioceros kinangopensis,"Stipala, Lutzmann, Malonza, Wilkinson, Godley, Nyamache & Evans, 2012",7468382,
,Trioceros kinetensis,"Trioceros kinetensis (Schmidt, 1943)",8353561,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros kinetensis,Trioceros kinetensis,"(Schmidt, 1943) ",8353561,
,Trioceros laterispinis,"Trioceros laterispinis (Loveridge, 1932)",7595581,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros laterispinis,Trioceros laterispinis,"(Loveridge, 1932) ",7595581,
,Trioceros marsabitensis,"Trioceros marsabitensis (Tilbury, 1991)",8160593,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros marsabitensis,Trioceros marsabitensis,"(Tilbury, 1991) ",8160593,
,Trioceros melleri,"Trioceros melleri (Gray, 1865)",7858801,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros melleri,Trioceros melleri,"(Gray, 1865) ",7858801,
,Trioceros montium,"Trioceros montium (Buchholz, 1874)",7804853,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros montium,Trioceros montium,"(Buchholz, 1874) ",7804853,
,Trioceros narraioca,"Trioceros narraioca (Necas, Modry & Slapeta, 2003)",8217337,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros narraioca,Trioceros narraioca,"(Necas, Modry & Slapeta, 2003) ",8217337,
,Trioceros ntunte,"Trioceros ntunte (Necas, Modry & Slapeta, 2005)",8113386,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros ntunte,Trioceros ntunte,"(Necas, Modry & Slapeta, 2005) ",8113386,
,Trioceros nyirit,"Trioceros nyirit Stipala, Lutzmánn, Malonza, Borghesio, Wilkinson, Godley & Evans, 2011",7423978,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros nyirit,Trioceros nyirit,"Stipala, Lutzmánn, Malonza, Borghesio, Wilkinson, Godley & Evans, 2011",7423978,
,Trioceros oweni,"Trioceros oweni (Gray, 1831)",8225924,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros oweni,Trioceros oweni,"(Gray, 1831) ",8225924,
,Trioceros perreti,"Trioceros perreti (Klaver & Böhme, 1992)",8122995,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros perreti,Trioceros perreti,"(Klaver & Böhme, 1992) ",8122995,
,Trioceros pfefferi,"Trioceros pfefferi (Tornier, 1900)",8410237,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Chamaeleonidae,Trioceros,Trioceros pfefferi,Trioceros pfefferi,"(Tornier, 1900) ",8410237,
