scientificName
Acacia saligna (Labill.) H.L.Wendl.
"Acridotheres tristis (Linnaeus, 1766)"
Ailanthus altissima (Mill.) Swingle
"Alopochen aegyptiaca (Linnaeus, 1766)"
Alternanthera philoxeroides (Mart.) Griseb.
"Ameiurus melas (Rafinesque, 1820)"
Andropogon virginicus L.
"Arthurdendyus triangulatus (Dendy, 1895) "
Asclepias syriaca L.
"Axis axis (Erxleben, 1777)"
Baccharis halimifolia L.
Cabomba caroliniana Gray
"Callosciurus erythraeus (Pallas, 1779)"
"Callosciurus finlaysonii (Horsfield, 1823)"
Cardiospermum grandiflorum Sw.
Cenchrus setaceus (Forssk.) Morrone
"Channa argus (Cantor, 1842)"
Cortaderia selloana subsp. jubata (Lemoine) Testoni & Villamil
"Corvus splendens Vieillot, 1817"
Ehrharta calycina Sm.
Elodea nuttallii (Planch.) St.John
"Eriocheir sinensis H.Milne Edwards, 1854"
"Faxonius limosus (Rafinesque, 1817)"
"Faxonius rusticus (Girard, 1852)"
"Faxonius virilis (Hagen, 1870)"
"Fundulus heteroclitus (Linnaeus, 1766)"
"Gambusia affinis (Baird & Girard, 1853)"
"Gambusia holbrooki Girard, 1859"
Gunnera tinctoria (Molina) Mirbel
Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.
Hakea sericea Schrad. & J.C.Wendl.
Heracleum mantegazzianum Sommier & Levier
Heracleum persicum Fischer
Heracleum sosnowskyi Mandenova
Humulus scandens (Lour) Merr.
Hydrocotyle ranunculoides L.f.
Impatiens glandulifera Royle
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal
Lagarosiphon major (Ridley) Moss
"Lampropeltis getula (Linnaeus, 1766)"
"Lepomis gibbosus (Linnaeus, 1758)"
Lespedeza cuneata (Dum.Cours.) G.Don
"Limnoperna fortunei (Dunker, 1857)"
"Lithobates catesbeianus (Shaw, 1802)"
Ludwigia grandiflora (Michx.) Greuter & Burdet
Ludwigia peploides (Kunth) P.H.Raven
Lygodium japonicum (Thunb.) Sw.
Lysichiton americanus Hultén & St.John
Microstegium vimineum (Trin.) A.Camus
"Morone americana (Gmelin, 1789)"
"Muntiacus reevesi (Ogilby, 1839)"
"Myocastor coypus (Molina, 1782)"
Myriophyllum aquaticum (Vell.) Verdc.
Myriophyllum heterophyllum Michaux
"Nasua nasua (Linnaeus, 1766)"
Neltuma juliflora (Sw.) Raf.
"Nyctereutes procyonoides (Gray, 1834)"
"Ondatra zibethicus (Linnaeus, 1766)"
"Oxyura jamaicensis (Gmelin, 1789)"
"Pacifastacus leniusculus (Dana, 1852)"
Parthenium hysterophorus L.
"Perccottus glenii Dybowski, 1877"
Persicaria perfoliata (L.) H.Gross
Pistia stratiotes L.
"Plotosus lineatus (Thunberg, 1787)"
Pontederia crassipes Martius
"Procambarus clarkii (Girard, 1852)"
"Procambarus virginalis Lyko, 2017"
"Procyon lotor (Linnaeus, 1758)"
"Pseudorasbora parva (Temminck & Schlegel, 1846)"
Pueraria montana (Lour.) Merr. var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep
"Pycnonotus cafer (Linnaeus, 1766)"
"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009"
Salvinia molesta D.S.Mitch.
"Sciurus carolinensis Gmelin, 1788"
"Sciurus niger Linnaeus, 1758"
"Solenopsis geminata (Fabricius, 1804)"
"Solenopsis invicta Buren, 1972"
"Solenopsis richteri Forel, 1909"
"Tamias sibiricus (Laxmann, 1769)"
"Threskiornis aethiopicus (Latham, 1790)"
"Trachemys scripta (Schoepff, 1792)"
Triadica sebifera (L.) Small 
"Urva auropunctata (Hodgson, 1836)"
"Vespa velutina nigrithorax du Buysson, 1905"
"Wasmannia auropunctata (Roger, 1863)"
"Xenopus laevis (Daudin, 1802)"
