"occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
NA,"Baccharis halimifolia L.","Baccharis halimifolia L.",3129663,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis halimifolia","Baccharis halimifolia","L.",3129663,3129663
NA,"Cabomba caroliniana Gray","Cabomba caroliniana A.Gray",2882443,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana","Cabomba caroliniana","A.Gray",2882443,2882443
NA,"Callosciurus erythraeus (Pallas, 1779)","Callosciurus erythraeus (Pallas, 1779)",2437394,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus erythraeus","Callosciurus erythraeus","(Pallas, 1779) ",2437394,2437394
NA,"Callosciurus finlaysonii (Horsfield, 1823)","Callosciurus finlaysonii (Horsfield, 1823)",2437399,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus finlaysonii","Callosciurus finlaysonii","(Horsfield, 1823) ",2437399,2437399
NA,"Cardiospermum grandiflorum Sw.","Cardiospermum grandiflorum Sw.",3189935,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Cardiospermum","Cardiospermum grandiflorum","Cardiospermum grandiflorum","Sw.",3189935,3189935
NA,"Cenchrus setaceus (Forssk.) Morrone","Cenchrus setaceus (Forssk.) Morrone",5828232,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus","Cenchrus setaceus","(Forssk.) Morrone",5828232,5828232
NA,"Channa argus (Cantor, 1842)","Channa argus (Cantor, 1842)",4284921,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Perciformes","Channidae","Channa","Channa argus","Channa argus","(Cantor, 1842) ",4284921,4284921
NA,"Cortaderia selloana subsp. jubata (Lemoine) Testoni & Villamil","Cortaderia jubata (Lemoine) Stapf",9355348,"EXACT",100,"SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia jubata","Cortaderia selloana jubata","(Lemoine) Testoni & Villamil",9355348,2704521
NA,"Corvus splendens Vieillot, 1817","Corvus splendens Vieillot, 1817",2482499,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus splendens","Corvus splendens","Vieillot, 1817",2482499,2482499
NA,"Ehrharta calycina Sm.","Ehrharta calycina Sm.",2702865,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Ehrharta","Ehrharta calycina","Ehrharta calycina","Sm.",2702865,2702865
NA,"Elodea nuttallii (Planch.) St.John","Elodea nuttallii (Planch.) H.St.John",5329212,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii","Elodea nuttallii","(Planch.) H.St.John",5329212,5329212
