occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Callosciurus finlaysonii (Horsfield, 1823)","Callosciurus finlaysonii (Horsfield, 1823)",2437399,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,Callosciurus finlaysonii,Callosciurus finlaysonii,"(Horsfield, 1823) ",2437399,
,Cardiospermum grandiflorum Sw.,Cardiospermum grandiflorum Sw.,3189935,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Cardiospermum,Cardiospermum grandiflorum,Cardiospermum grandiflorum,Sw.,3189935,
,Cenchrus setaceus (Forssk.) Morrone,Cenchrus setaceus (Forssk.) Morrone,5828232,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,Cenchrus setaceus,(Forssk.) Morrone,5828232,
,"Channa argus (Cantor, 1842)","Channa argus (Cantor, 1842)",4284921,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Channidae,Channa,Channa argus,Channa argus,"(Cantor, 1842) ",4284921,
,Cortaderia selloana subsp. jubata (Lemoine) Testoni & Villamil,Cortaderia jubata (Lemoine) Stapf,9355348,EXACT,100,SYNONYM,SUBSPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cortaderia,Cortaderia jubata,Cortaderia selloana jubata,(Lemoine) Testoni & Villamil,9355348,2704521
,"Corvus splendens Vieillot, 1817","Corvus splendens Vieillot, 1817",2482499,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus splendens,Corvus splendens,"Vieillot, 1817",2482499,
,Ehrharta calycina Sm.,Ehrharta calycina Sm.,2702865,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Ehrharta,Ehrharta calycina,Ehrharta calycina,Sm.,2702865,
,Elodea nuttallii (Planch.) St.John,Elodea nuttallii (Planch.) H.St.John,5329212,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Elodea,Elodea nuttallii,Elodea nuttallii,(Planch.) H.St.John,5329212,
,"Eriocheir sinensis H.Milne Edwards, 1854","Eriocheir sinensis H.Milne Edwards, 1853",2225776,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir,Eriocheir sinensis,Eriocheir sinensis,"H.Milne Edwards, 1853",2225776,
,"Faxonius limosus (Rafinesque, 1817)","Faxonius limosus (Rafinesque, 1817)",8909595,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,Faxonius limosus,Faxonius limosus,"(Rafinesque, 1817) ",8909595,
,"Faxonius rusticus (Girard, 1852)","Faxonius rusticus (Girard, 1852)",8979506,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,Faxonius rusticus,Faxonius rusticus,"(Girard, 1852) ",8979506,
,"Faxonius virilis (Hagen, 1870)","Faxonius virilis (Hagen, 1870)",8971201,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,Faxonius virilis,Faxonius virilis,"(Hagen, 1870) ",8971201,
,"Fundulus heteroclitus (Linnaeus, 1766)","Fundulus heteroclitus (Linnaeus, 1766)",5712056,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,Fundulus heteroclitus,"(Linnaeus, 1766) ",5712056,
,"Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis (Baird & Girard, 1853)",2350580,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,Gambusia affinis,"(Baird & Girard, 1853) ",2350580,
,"Gambusia holbrooki Girard, 1859","Gambusia holbrooki Girard, 1859",2350570,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia holbrooki,Gambusia holbrooki,"Girard, 1859",2350570,
,Gunnera tinctoria (Molina) Mirbel,Gunnera tinctoria (Molina) Mirb.,2984306,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gunnerales,Gunneraceae,Gunnera,Gunnera tinctoria,Gunnera tinctoria,(Molina) Mirb.,2984306,
,Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,Gymnocoronis spilanthoides DC.,6063677,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gymnocoronis,Gymnocoronis spilanthoides,Gymnocoronis spilanthoides,DC.,6063677,
,Hakea sericea Schrad. & J.C.Wendl.,Hakea sericea Schrad. & J.C.Wendl.,7287606,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Hakea,Hakea sericea,Hakea sericea,Schrad. & J.C.Wendl.,7287606,
,Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum Sommier & Levier,3034825,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum mantegazzianum,Heracleum mantegazzianum,Sommier & Levier,3034825,
,Heracleum persicum Fischer,Heracleum persicum Desf.,8000520,EXACT,100,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum persicum,Heracleum persicum,"Desf. ex Fisch., C.A.Mey. & Avé-Lall.",8000520,3628745
,Heracleum sosnowskyi Mandenova,Heracleum sosnowskyi Manden.,3642949,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum sosnowskyi,Heracleum sosnowskyi,Manden.,3642949,
,Humulus scandens (Lour) Merr.,Humulus scandens (Lour.) Merr.,2984537,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus scandens,Humulus scandens,(Lour.) Merr.,2984537,
,Hydrocotyle ranunculoides L.f.,Hydrocotyle ranunculoides L.fil.,7978544,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,L.fil.,7978544,
,Impatiens glandulifera Royle,Impatiens glandulifera Royle,2891770,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,Impatiens glandulifera,Royle,2891770,
,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,8848208,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Koenigia,Koenigia polystachya,Koenigia polystachya,(Wall. ex Meisn.) T.M.Schust. & Reveal,8848208,
,Lagarosiphon major (Ridley) Moss,Lagarosiphon major (Ridl.) Moss,2865565,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Lagarosiphon,Lagarosiphon major,Lagarosiphon major,(Ridl.) Moss,2865565,
,"Lampropeltis getula (Linnaeus, 1766)","Lampropeltis getula (Linnaeus, 1766)",9799308,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Lampropeltis,Lampropeltis getula,Lampropeltis getula,"(Linnaeus, 1766) ",9799308,
,"Lepomis gibbosus (Linnaeus, 1758)","Lepomis gibbosus (Linnaeus, 1758)",2394486,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus,Lepomis gibbosus,"(Linnaeus, 1758) ",2394486,
