"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"38",2480509,97985,"Aquila clanga Pallas, 1811","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"95",2492605,103415,"Ficedula parva (Bechstein, 1792)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"85",2490274,105627,"Anthus campestris (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Motacillidae"
"143",5739290,107344,"Phalaropus lobatus (Linnaeus, 1758)","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"5",2474416,108474,"Porphyrio porphyrio (Linnaeus, 1758)","Animalia","Chordata","Aves","Gruiformes","Rallidae"
"91",2491482,109622,"Emberiza hortulana Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Emberizidae"
"13",2475365,110137,"Coracias garrulus Linnaeus, 1758","Animalia","Chordata","Aves","Coraciiformes","Coraciidae"
"65",2481521,114599,"Calonectris diomedea (Scopoli, 1769)","Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"62",2481121,126027,"Chlidonias hybrida (Pallas, 1811)","Animalia","Chordata","Aves","Charadriiformes","Laridae"
"138",5232162,129514,"Glaucidium passerinum (Linnaeus, 1758)","Animalia","Chordata","Aves","Strigiformes","Strigidae"
"1",2473577,132788,"Tetrao urogallus Linnaeus, 1758","Animalia","Chordata","Aves","Galliformes","Phasianidae"
"81",2482100,136190,"Burhinus oedicnemus (Linnaeus, 1758)","Animalia","Chordata","Aves","Charadriiformes","Burhinidae"
"150",9330514,137707,"Galerida theklae A.E.Brehm, 1857","Animalia","Chordata","Aves","Passeriformes","Alaudidae"
"144",5739298,144941,"Aegolius funereus (Linnaeus, 1758)","Animalia","Chordata","Aves","Strigiformes","Strigidae"
"123",4408498,146357,"Crex crex (Linnaeus, 1758)","Animalia","Chordata","Aves","Gruiformes","Rallidae"
"76",2481962,150691,"Gavia immer (Brunnich, 1764)","Animalia","Chordata","Aves","Gaviiformes","Gaviidae"
"94",2492601,157216,"Ficedula albicollis (Temminck, 1815)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae"
"99",2492949,158449,"Sylvia undata (Boddaert, 1783)","Animalia","Chordata","Aves","Passeriformes","Sylviidae"
"116",2498015,162641,"Tadorna ferruginea (Pallas, 1764)","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"52",2480863,163010,"Nycticorax nycticorax (Linnaeus, 1758)","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"82",2482552,173624,"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Corvidae"
"72",2481909,173727,"Ciconia nigra (Linnaeus, 1758)","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae"
"23",2480311,179426,"Charadrius alexandrinus Linnaeus, 1758","Animalia","Chordata","Aves","Charadriiformes","Charadriidae"
"19",2478548,205634,"Picus canus J.F.Gmelin, 1788","Animalia","Chordata","Aves","Piciformes","Picidae"
"149",8109681,206366,"Caprimulgus europaeus Linnaeus, 1758","Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae"
"112",2497295,220346,"Asio flammeus (Pontoppidan, 1763)","Animalia","Chordata","Aves","Strigiformes","Strigidae"
"49",2480773,230635,"Plegadis falcinellus (Linnaeus, 1766)","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae"
"56",2480934,230649,"Ardea purpurea Linnaeus, 1766","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"37",2480506,243905,"Aquila chrysaetos (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"61",2481119,269314,"Chlidonias niger (Linnaeus, 1758)","Animalia","Chordata","Aves","Charadriiformes","Laridae"
"34",2480495,279036,"Circus pygargus (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
